fsm, mapping, replan, sfc, mpc, df, total, 
1.715e-06, 0, 0, 0, 0.00026554, 1.0459e-05, 0.000277952, 
1.878e-06, 0, 0, 0, 0.000259971, 1.648e-06, 0.000263689, 
2.511e-06, 0.0214888, 0, 0, 0.000327266, 1.285e-05, 0.000342905, 
4.493e-06, 0, 0, 0, 0.00053334, 2.417e-06, 0.000540833, 
4.63e-06, 0, 0, 0, 0.000769674, 2.778e-06, 0.000777607, 
3.499e-06, 0, 0, 0, 0.000592587, 3.207e-06, 0.0006, 
4.025e-06, 0, 0, 0, 0.000631278, 2.758e-06, 0.000638539, 
2.828e-06, 0, 0, 0, 0.000541574, 2.285e-06, 0.00054698, 
2.342e-06, 0, 0, 0, 0.000365565, 1.731e-06, 0.000369864, 
2.827e-06, 0, 0, 0, 0.000389591, 1.6872e-05, 0.000409666, 
1.1711e-05, 0, 0, 0, 0.000272329, 1.811e-06, 0.000286853, 
2.724e-06, 0, 0, 0, 0.000384613, 1.445e-05, 0.000402092, 
1.447e-06, 0, 0, 0, 0.000266866, 1.128e-05, 0.000279829, 
3.218e-06, 0.0191055, 0, 0, 0.000453337, 3.232e-06, 0.000460097, 
2.604e-06, 0, 0, 0, 0.000383147, 1.3135e-05, 0.000399202, 
1.901e-06, 0, 0, 0, 0.000308802, 1.941e-06, 0.000312973, 
2.203e-06, 0, 0, 0, 0.000310716, 1.84e-06, 0.000315035, 
2.057e-06, 0, 0, 0, 0.000370053, 1.5316e-05, 0.000387792, 
2.58e-06, 0, 0, 0, 0.000353857, 2.189e-06, 0.000358895, 
9.875e-06, 0, 0, 0, 0.00050141, 2.563e-06, 0.000516707, 
1.955e-06, 0, 0, 0, 0.000271847, 1.92e-06, 0.000275959, 
1.536e-06, 0.00842127, 0, 0, 0.000265647, 1.653e-06, 0.000269066, 
1.584e-06, 0, 0, 0, 0.000257095, 1.607e-06, 0.000260481, 
3.787e-06, 0, 0, 0, 0.000284201, 2.432e-06, 0.00029064, 
2.884e-06, 0, 0, 0, 0.000397831, 2.107e-06, 0.000403145, 
2.025e-06, 0, 0, 0, 0.00026128, 1.467e-06, 0.000265017, 
3.217e-06, 0, 0, 0, 0.000367756, 2.613e-06, 0.000373863, 
1.961e-06, 0, 0, 0, 0.000346054, 1.599e-06, 0.000349907, 
1.699e-06, 0, 0, 0, 0.000520817, 1.487e-06, 0.000524382, 
3.965e-06, 0, 0, 0, 0.000712086, 3.486e-06, 0.000720022, 
2.028e-06, 0, 0, 0, 0.000261144, 1.0776e-05, 0.000274135, 
1.557e-06, 0.0195876, 0, 0, 0.000244695, 2.037e-06, 0.000248507, 
1.2716e-05, 0, 0, 0, 0.000290197, 2.388e-06, 0.000305975, 
2.854e-06, 0, 0, 0, 0.000414992, 2.089e-06, 0.000420298, 
4.888e-06, 0, 0, 0, 0.000774769, 4.179e-06, 0.000784612, 
3.436e-06, 0, 0, 0, 0.00055296, 3.099e-06, 0.000560165, 
3.777e-06, 0, 0, 0, 0.000383766, 1.968e-06, 0.000389942, 
3.043e-06, 0, 0, 0, 0.00038438, 1.903e-06, 0.000389642, 
2.167e-06, 0, 0, 0, 0.000343984, 1.545e-06, 0.000348031, 
2.153e-06, 0, 0, 0, 0.000290112, 3.048e-06, 0.000295682, 
2.549e-06, 0, 0, 0, 0.000400201, 2.33e-06, 0.000405467, 
1.985e-06, 0, 0, 0, 0.000266434, 1.825e-06, 0.000270407, 
1.769e-06, 0.017318, 0, 0, 0.000273832, 1.919e-06, 0.000277683, 
2.307e-06, 0, 0, 0, 0.000292736, 1.798e-06, 0.000297172, 
2.712e-06, 0, 0, 0, 0.000410568, 2.214e-06, 0.000415803, 
2.54e-06, 0, 0, 0, 0.000379869, 1.953e-06, 0.000384666, 
3.281e-06, 0, 0, 0, 0.000311335, 2.687e-06, 0.000317621, 
2.559e-06, 0, 0, 0, 0.000379473, 2.094e-06, 0.000384547, 
1.825e-06, 0, 0, 0, 0.000299571, 1.844e-06, 0.000303442, 
2.275e-06, 0, 0, 0, 0.00028132, 2.174e-06, 0.00028602, 
2.055e-06, 0, 0, 0, 0.000269084, 1.1638e-05, 0.000282968, 
1.783e-06, 0.00671632, 0, 0, 0.000293719, 1.916e-06, 0.000297618, 
1.752e-06, 0, 0, 0, 0.00026751, 2.267e-06, 0.000271736, 
2.396e-06, 0, 0, 0, 0.000248815, 1.1266e-05, 0.000262644, 
3.139e-06, 0, 0, 0, 0.000391797, 2.147e-06, 0.000397421, 
3.138e-06, 0, 0, 0, 0.000386808, 1.4363e-05, 0.000404625, 
2.754e-06, 0, 0, 0, 0.000402014, 2.86e-06, 0.000407986, 
2.411e-06, 0, 0, 0, 0.000293687, 2.656e-06, 0.000299114, 
2.397e-06, 0, 0, 0, 0.000412725, 2.162e-06, 0.000417621, 
